duration,audio,sampling_rate,text,normalized_text,speaker
0,./archive/bible/audio_1_1_segment_ch1.mp3.wav,44100,هادو هم سميات جدود يسوع المسيح بن داود بن ابراهيم.,هادو هم سميات جدود يسوع المسيح بن داود بن ابراهيم,2
0,./archive/bible/audio_1_2_segment_ch1.mp3.wav,44100,ابراهيم ولد اسحاق واسحاق ولد يعقوب ويعقوب ولد يهودا وخوتو.,ابراهيم ولد اسحاق واسحاق ولد يعقوب ويعقوب ولد يهودا وخوتو,2
0,./archive/bible/audio_1_3_segment_ch1.mp3.wav,44100,ويهودا ولد فارص وزارح من تامار وفارص ولد حصرون وحصرون ولد ارام.,ويهودا ولد فارص وزارح من تامار وفارص ولد حصرون وحصرون ولد ارام,2
0,./archive/bible/audio_1_4_segment_ch1.mp3.wav,44100,وارام ولد عميناداب وعميناداب ولد نحشون ونحشون ولد سلمون.,وارام ولد عميناداب وعميناداب ولد نحشون ونحشون ولد سلمون,2
0,./archive/bible/audio_1_5_segment_ch1.mp3.wav,44100,وسلمون ولد بوعز من راحاب وبوعز ولد عوبيد من راعوت وعوبيد ولد يسى.,وسلمون ولد بوعز من راحاب وبوعز ولد عوبيد من راعوت وعوبيد ولد يسى,2
0,./archive/bible/audio_1_6_segment_ch1.mp3.wav,44100,ويسى ولد داود الملك.,ويسى ولد داود الملك,2
0,./archive/bible/audio_1_7_segment_ch1.mp3.wav,44100,وسليمان ولد رحبعام ورحبعام ولد ابيا وابيا ولد اساف.,وسليمان ولد رحبعام ورحبعام ولد ابيا وابيا ولد اساف,2
0,./archive/bible/audio_1_8_segment_ch1.mp3.wav,44100,واساف ولد يهوشافاط ويهوشافاط ولد يورام ويورام ولد عزيا.,واساف ولد يهوشافاط ويهوشافاط ولد يورام ويورام ولد عزيا,2
0,./archive/bible/audio_1_9_segment_ch1.mp3.wav,44100,وعزيا ولد يوتام ويوتام ولد احاز واحاز ولد حزقيا.,وعزيا ولد يوتام ويوتام ولد احاز واحاز ولد حزقيا,2
0,./archive/bible/audio_1_10_segment_ch1.mp3.wav,44100,وحزقيا ولد منسى ومنسى ولد عاموس وعاموس ولد يوشيا.,وحزقيا ولد منسى ومنسى ولد عاموس وعاموس ولد يوشيا,2
0,./archive/bible/audio_1_11_segment_ch1.mp3.wav,44100,ويوشيا ولد يكنيا وخوتو فالوقت اللي كانو فيه ليهود منفيين فبلاد بابل.,ويوشيا ولد يكنيا وخوتو فالوقت اللي كانو فيه ليهود منفيين فبلاد بابل,2
0,./archive/bible/audio_1_12_segment_ch1.mp3.wav,44100,ومن بعدما رجعو ليهود من بابل يكنيا ولد شالتيئيل وشالتيئيل ولد زربابل.,ومن بعدما رجعو ليهود من بابل يكنيا ولد شالتيئيل وشالتيئيل ولد زربابل,2
0,./archive/bible/audio_1_13_segment_ch1.mp3.wav,44100,وزربابل ولد ابيهود وابيهود ولد الياقيم والياقيم ولد عازور.,وزربابل ولد ابيهود وابيهود ولد الياقيم والياقيم ولد عازور,2
0,./archive/bible/audio_1_14_segment_ch1.mp3.wav,44100,وعازور ولد صادوق وصادوق ولد اخيم واخيم ولد اليود.,وعازور ولد صادوق وصادوق ولد اخيم واخيم ولد اليود,2
0,./archive/bible/audio_1_15_segment_ch1.mp3.wav,44100,واليود ولد اليعازر واليعازر ولد متان ومتان ولد يعقوب.,واليود ولد اليعازر واليعازر ولد متان ومتان ولد يعقوب,2
0,./archive/bible/audio_1_16_segment_ch1.mp3.wav,44100,ويعقوب ولد يوسف راجل مريم اللي ولدات يسوع اللي تسمى المسيح.,ويعقوب ولد يوسف راجل مريم اللي ولدات يسوع اللي تسمى المسيح,2
0,./archive/bible/audio_1_17_segment_ch1.mp3.wav,44100,الجيال كلهم من ابراهيم حتى لداود ربعطاشر جيل ومن داود حتى للوقت اللي تنفاو فيه ليهود لبابل ربعطاشر جيل ومن الوقت اللي تنفاو فيه لبابل حتى للولادة د المسيح ربعطاشر جيل.,الجيال كلهم من ابراهيم حتى لداود ربعطاشر جيل ومن داود حتى للوقت اللي تنفاو فيه ليهود لبابل ربعطاشر جيل ومن الوقت اللي تنفاو فيه لبابل حتى للولادة د المسيح ربعطاشر جيل,2
0,./archive/bible/audio_1_18_segment_ch1.mp3.wav,44100,وهكا كانت الولادة د يسوع المسيح ملي كانت مريم مو مخطوبة ليوسف وقبل ما تزوج بيه تصابت حاملة بقدرة الروح القدس.,وهكا كانت الولادة د يسوع المسيح ملي كانت مريم مو مخطوبة ليوسف وقبل ما تزوج بيه تصابت حاملة بقدرة الروح القدس,2
0,./archive/bible/audio_1_20_segment_ch1.mp3.wav,44100,وملي كان كيفكر فهادشي بان ليه فالمنام واحد الملاك ديال الرب وݣال ليه ا يوسف بن داود ما تخافش تتزوج بمريم حيت هاداك اللي حاملة بيه راه هو بقدرة الروح القدس.,وملي كان كيفكر فهادشي بان ليه فالمنام واحد الملاك ديال الرب وگال ليه ا يوسف بن داود ما تخافش تتزوج بمريم حيت هاداك اللي حاملة بيه راه هو بقدرة الروح القدس,2
0,./archive/bible/audio_1_22_segment_ch1.mp3.wav,44100,وهادشي كلو جرا باش يتحقق كلام الرب بلسان النبي اللي ݣال.,وهادشي كلو جرا باش يتحقق كلام الرب بلسان النبي اللي گال,2
0,./archive/bible/audio_1_23_segment_ch1.mp3.wav,44100,ها العزبة غتحمل وتولد ولد ويتسمى عمانوئيل اللي المعنى ديالو الله معانا.,ها العزبة غتحمل وتولد ولد ويتسمى عمانوئيل اللي المعنى ديالو الله معانا,2
